,Unnamed: 0,matched_tickers,week,vader_score,vader_score_avg
435,155,PLTR,1,0.5574,0.34902870370370365
436,156,CRM,1,0.6249,0.48735
437,156,SQ,1,0.6249,-0.012329933333333338
438,157,CRM,0,0.1811142857142857,0.06575238095238095
439,158,CRM,1,0.4101,0.48735
440,159,CRM,2,0.35615,0.16837857142857143
441,160,CRM,3,0.1560799999999999,0.714436
442,161,DAL,3,0.9782,0.16017708333333333
443,161,AMZN,3,0.9782,0.3844485758896151
444,161,META,3,0.9782,0.28479402356902356
445,161,AAPL,3,0.9782,0.34326895218826814
446,162,DAL,2,0.9661,0.5269703703703703
447,162,BA,2,0.9661,0.40985000000000005
448,162,GOOGL,2,0.9661,0.4473820352170352
449,163,DAL,0,-0.5867,-0.551375
450,163,BA,0,-0.5867,0.195765
451,164,DAL,3,-0.5943,0.16017708333333333
452,164,GM,3,-0.5943,0.25412947530864194
453,164,GME,3,-0.5943,0.22416983018443545
454,165,DAL,1,-0.1989,-0.1409942857142857
455,165,GOOGL,1,-0.1989,0.1758126281672089
456,165,DIS,1,-0.1989,0.38201111111111113
457,166,DAL,1,-0.9228,-0.1409942857142857
458,166,INO,1,-0.9228,0.16264783333333335
459,166,GOOGL,1,-0.9228,0.1758126281672089
460,167,DAL,1,-0.0429,-0.1409942857142857
461,167,JPM,1,-0.0429,0.292875
462,168,DAL,3,-0.7089,0.16017708333333333
463,168,MRNA,3,-0.7089,0.03293
464,169,DAL,3,0.148,0.16017708333333333
465,169,NKE,3,0.148,0.10244897959183676
466,169,GOOGL,3,0.148,0.32690003174603177
467,169,META,3,0.148,0.28479402356902356
468,170,DAL,1,-0.9668,-0.1409942857142857
469,170,NKE,1,-0.9668,0.022935714285714285
470,171,DAL,2,0.9455,0.5269703703703703
471,171,NKE,2,0.9455,0.29084806910569105
472,172,DAL,1,-0.0387,-0.1409942857142857
473,172,UBER,1,-0.0387,-0.21411750000000002
474,173,DAL,2,0.1839,0.5269703703703703
475,173,UBER,2,0.1839,0.4202423076923077
476,174,DAL,1,0.87715,-0.1409942857142857
477,174,WFC,1,0.87715,0.4425875
478,174,JPM,1,0.87715,0.292875
479,175,DAL,3,0.8082,0.16017708333333333
480,175,XOM,3,0.8082,0.20442222222222223
481,176,DAL,0,-0.51605,-0.551375
482,177,DAL,1,0.30599,-0.1409942857142857
483,178,DAL,2,0.0123814814814814,0.5269703703703703
484,179,DAL,3,0.3298625,0.16017708333333333
485,180,DIS,1,0.0,0.38201111111111113
486,180,GME,1,0.0,0.26132256371814094
