matched_tickers,week,vader_score_avg,ticker_x,industry,eigen centrality,betweeness centrality,weighted degree,spillover_eigen,spillover_betweenness,spillover_degree,ticker_y,predict_for_week,price change (%),composite_alpha,pos_sentiment,neg_sentiment,target_label
DIS,2,0.1545352380952381,DIS,Telcm,1.0,2.38157,1465531,0.0,0.0,0.0,DIS,2,-0.692314,0.1545352380952381,0.1545352380952381,0.0,0
GM,2,0.2211135585308581,GM,Autos,0.978003,1.502383,830410,0.0,0.0,0.0,GM,2,-2.04219,0.2211135585308581,0.2211135585308581,0.0,0
MGM,2,-0.0986880952380952,MGM,Meals,0.959199,1.125342,623402,0.0,0.0,0.0,MGM,2,0.548009,-0.0986880952380952,0.0,-0.0986880952380952,1
INO,2,0.0374755952380952,INO,LabEq,0.995287,2.286848,943348,0.0,0.0,0.0,INO,2,-3.199997,0.0374755952380952,0.0374755952380952,0.0,0
NFLX,2,0.391947619047619,NFLX,Fun,1.0,2.38157,3351263,0.237079460613001,0.2370795293789414,0.19070589101694752,NFLX,2,-2.368643,1.056812500056509,0.391947619047619,0.0,0
DKNG,2,0.227064,DKNG,Unclassified,1.0,2.38157,1296165,0.3166232029976754,0.32039168388653655,0.3911122261366005,DKNG,2,-6.233895,1.2551911130208124,0.227064,0.0,0
GM,1,0.317255156449553,GM,Autos,0.978003,1.502383,830410,0.0,0.0,0.0,GM,1,6.384995,0.317255156449553,0.317255156449553,0.0,1
MSFT,1,0.3104508090261114,MSFT,BusSv,1.0,2.38157,4374581,0.20565931002088092,0.20565932086677138,0.21709628155957855,MSFT,1,4.62476,0.9388657214733422,0.3104508090261114,0.0,1
GME,0,0.3639096666666667,GME,Rtail,1.0,2.38157,2988567,0.3228411503503184,0.3228411971710713,0.2641034428776469,GME,0,-10.018444,1.2736954570657035,0.3639096666666667,0.0,0
GM,0,0.2357405219298245,GM,Autos,0.978003,1.502383,830410,0.0,0.0,0.0,GM,0,3.2587,0.2357405219298245,0.2357405219298245,0.0,1
SQ,0,0.3088881692224912,SQ,BusSv,1.0,2.38157,1379321,0.21403529878778138,0.2140353100753978,0.31524098273197426,SQ,0,1.301926,1.0521997608176445,0.3088881692224912,0.0,1
GOOGL,0,0.2942422420319479,GOOGL,BusSv,1.0,2.38157,3798599,0.2153667465931537,0.21536675795098692,0.3181723698534178,GOOGL,0,2.176161,1.0431481164295064,0.2942422420319479,0.0,1
NFLX,0,0.0631991071428571,NFLX,Fun,1.0,2.38157,3351263,0.37739405733471726,0.3773941667995238,0.2855605091112185,NFLX,0,-0.421349,1.1035478403883168,0.0631991071428571,0.0,0
PYPL,1,0.1938610119047619,PYPL,Unclassified,1.0,2.38157,1531873,0.3355360808702991,0.33437924037848143,0.32071751871277226,PYPL,1,18.226157,1.1844938518663148,0.1938610119047619,0.0,1
V,1,-0.0801981481481481,V,BusSv,1.0,2.38157,930868,0.24117284835367375,0.24117286107244781,0.2423876362820363,V,1,6.291841,0.6445351975600098,0.0,-0.0801981481481481,1
INTC,1,0.2993076923076923,INTC,Chips,0.987163,1.766131,1203515,0.2098032989686308,0.2098034206773449,0.20980350877187404,INTC,1,5.891541,0.928717920725542,0.2993076923076923,0.0,1
NVDA,1,0.2098035087719298,NVDA,Chips,1.0,2.38157,3759559,0.2993073891081304,0.299307522836955,0.29930769230744364,NVDA,1,15.148216,1.1077261130244587,0.2098035087719298,0.0,1
NVDA,2,0.2856114705882352,NVDA,Chips,1.0,2.38157,3759559,0.36051117326230253,0.3605113343366268,0.36051153846123873,NVDA,2,4.403556,1.3671455166484032,0.2856114705882352,0.0,1
NFLX,1,0.250915625,NFLX,Fun,1.0,2.38157,3351263,0.11811764927450864,0.11811768353505243,0.1552856257442447,NFLX,1,10.720002,0.6424365835538057,0.250915625,0.0,1
NKLA,2,0.6551466666666667,NKLA,Unclassified,1.0,2.38157,1138555,0.2808975833056887,0.2837660329308387,0.3652767727929688,NKLA,2,9.8913,1.585087055696163,0.6551466666666667,0.0,1
PLTR,2,0.3558397222222222,PLTR,BusSv,1.0,2.38157,888137,0.231002793387353,0.23100280556978708,0.2687884780821927,PLTR,2,-2.26074,1.0866337992615551,0.3558397222222222,0.0,0
ROKU,2,0.347355303030303,ROKU,Unclassified,1.0,2.38157,1776084,0.3065842977138498,0.31009986966266245,0.38409573161969884,ROKU,2,-1.425841,1.348135202026514,0.347355303030303,0.0,0
INO,1,0.1626478333333333,INO,LabEq,0.995287,2.286848,943348,0.0,0.0,0.0,INO,1,19.745219,0.1626478333333333,0.1626478333333333,0.0,1
JNJ,1,0.07373,JNJ,MedEq,1.0,2.38157,746482,0.0,0.0,0.0,JNJ,1,-0.738051,0.07373,0.07373,0.0,0
PFE,1,-0.2929666666666666,PFE,Drugs,1.0,2.38157,743118,0.0,0.0,0.0,PFE,1,4.405285,-0.2929666666666666,0.0,-0.2929666666666666,1
WMT,1,0.1281285714285714,WMT,Rtail,1.0,2.38157,1124075,0.4214555355656513,0.4214555966881739,0.3483739749942224,WMT,1,-0.233231,1.3194136786766189,0.1281285714285714,0.0,0
META,0,0.4716703947368421,META,BusSv,1.0,2.38157,4915119,0.19923691599542065,0.1992369265026122,0.2815848413087795,META,0,-1.408373,1.1517290785436542,0.4716703947368421,0.0,0
OXY,2,0.2814590277777777,OXY,Oil,1.0,2.38157,838705,0.5654327679005654,0.5654330959130198,0.5654333333327833,OXY,2,-1.559357,1.977758224924146,0.2814590277777777,0.0,0
PTON,2,0.1344257142857143,PTON,Unclassified,0.987352,1.704252,856543,0.32415406143366593,0.3237117715675685,0.39147104107883535,PTON,2,3.232835,1.173762588365784,0.1344257142857143,0.0,1
ROKU,0,0.3314690476190476,ROKU,Unclassified,1.0,2.38157,1776084,0.20378525280324641,0.18727551518747837,0.2414667191389917,ROKU,0,-8.469946,0.963996534748764,0.3314690476190476,0.0,0
SNAP,0,0.4110999999999999,SNAP,BusSv,1.0,2.38157,1490797,0.20474331501637003,0.20474332581395352,0.3095239959232117,SNAP,0,-3.747598,1.1301106367535352,0.4110999999999999,0.0,0
SQ,2,0.1244163564213564,SQ,BusSv,1.0,2.38157,1379321,0.25204127927484204,0.2520412925667865,0.2791653029873794,SQ,2,-8.08237,0.9076642312503643,0.1244163564213564,0.0,0
V,2,0.2962,V,BusSv,1.0,2.38157,930868,0.23642458582375567,0.23642459829211981,0.27070054820426664,V,2,-0.018313,1.0397497323201421,0.2962,0.0,0
SPCE,0,0.3551583333333333,SPCE,Fin,1.0,2.38157,624220,0.18019381688365538,0.1770006281668921,0.1773081453867331,SPCE,0,-1.886784,0.8896609237706139,0.3551583333333333,0.0,0
PFE,2,0.3601,PFE,Drugs,1.0,2.38157,743118,0.0,0.0,0.0,PFE,2,-0.4902,0.3601,0.3601,0.0,0
SQ,1,-0.0123299333333333,SQ,BusSv,1.0,2.38157,1379321,0.2350030112041303,0.23500302359752465,0.24430395024759188,SQ,1,36.424488,0.7019800517159136,0.0,-0.0123299333333333,1
ZM,1,0.3183990196078431,ZM,Unclassified,1.0,2.38157,673186,0.3216790522543005,0.3200901497071232,0.3099452858100263,ZM,1,17.490146,1.270113507379293,0.3183990196078431,0.0,1
BA,0,0.195765,BA,Aero,1.0,2.38157,2472891,0.0,0.0,0.0,BA,0,1.398155,0.195765,0.195765,0.0,1
BA,1,0.7765,BA,Aero,1.0,2.38157,2472891,0.0,0.0,0.0,BA,1,7.193286,0.7765,0.7765,0.0,1
NKLA,1,0.6160583333333334,NKLA,Unclassified,1.0,2.38157,1138555,0.28855925449788766,0.2859376768882364,0.29027539437836,NKLA,1,21.34063,1.4808306590978175,0.6160583333333334,0.0,1
BA,2,0.40985,BA,Aero,1.0,2.38157,2472891,0.0,0.0,0.0,BA,2,-1.09401,0.40985,0.40985,0.0,0
BAC,0,0.1896333333333333,BAC,Banks,0.995373,2.271149,1357388,0.222214043304743,0.22221410775890382,0.22833033477952963,BAC,0,4.508944,0.8623918191765096,0.1896333333333333,0.0,1
BAC,1,0.3612,BAC,Banks,0.995373,2.271149,1357388,0.36773106613446693,0.3677311727964804,0.34556187230571256,BAC,1,3.373498,1.4422241112366598,0.3612,0.0,1
BAC,2,0.0,BAC,Banks,0.995373,2.271149,1357388,0.3469046750325108,0.3469047756537379,0.32318885715759604,BAC,2,-1.018562,1.0169983078438447,0.0,0.0,0
BBIG,2,0.56645,BBIG,Unclassified,1.0,2.38157,915222,0.2882997596328784,0.2913546914008551,0.372540004331068,BBIG,2,-3.908795,1.5186444553648015,0.56645,0.0,0
BYND,2,0.0,BYND,Unclassified,1.0,2.38157,785106,0.3355728189045904,0.33981869520040564,0.3957824933530593,BYND,2,-5.130701,1.0711740074580554,0.0,0.0,0
BYND,0,-0.00495,BYND,Unclassified,1.0,2.38157,785106,0.2412177479571641,0.22587515527857016,0.2612860238778148,BYND,0,-8.757065,0.723428927113549,0.0,-0.00495,0
COST,0,0.5458868686868686,COST,Rtail,1.0,2.38157,621855,0.27734686121884017,0.277346901441683,0.28613614399145887,COST,0,0.775756,1.3867167753388507,0.5458868686868686,0.0,1
COST,1,0.53285,COST,Rtail,1.0,2.38157,621855,0.3202752037178771,0.32027525016649794,0.2835037977281579,COST,1,3.508992,1.4569042516125328,0.53285,0.0,1
COST,2,0.223011111111111,COST,Rtail,1.0,2.38157,621855,0.3388642421347673,0.3388642912793045,0.3928130761299164,COST,2,-0.66318,1.2935527206550992,0.223011111111111,0.0,0
TSLA,2,0.4728193247126436,TSLA,Unclassified,1.0,2.38157,8705176,0.2961137034275816,0.299365490946942,0.31599493171202997,TSLA,2,1.676094,1.384293450799197,0.4728193247126436,0.0,1
DIS,1,0.3820111111111111,DIS,Telcm,1.0,2.38157,1465531,0.0,0.0,0.0,DIS,1,4.545459,0.3820111111111111,0.3820111111111111,0.0,1
MRNA,0,0.3260466666666667,MRNA,Unclassified,1.0,2.38157,1215084,0.2043885873949088,0.18789766174749034,0.2447477740561491,MRNA,0,6.899751,0.963080689865215,0.3260466666666667,0.0,1
META,2,0.0502302996670366,META,BusSv,1.0,2.38157,4915119,0.25878546563939964,0.25878547928701334,0.31862804170894,META,2,2.386344,0.8864292863023896,0.0502302996670366,0.0,1
WMT,0,0.3033158333333333,WMT,Rtail,1.0,2.38157,1124075,0.3379896048965381,0.3379896539142292,0.31411698293806334,WMT,0,2.400174,1.293412075082164,0.3033158333333333,0.0,1
NVDA,0,0.380986447368421,NVDA,Chips,1.0,2.38157,3759559,0.4212381632655316,0.42123835147232674,0.4212385899810971,NVDA,0,2.72381,1.6447015520873765,0.380986447368421,0.0,1
TSLA,0,0.2696230208333333,TSLA,Unclassified,1.0,2.38157,8705176,0.21066670352468955,0.1943715294943016,0.23286107455828695,TSLA,0,-3.52377,0.9075223284106114,0.2696230208333333,0.0,0
OXY,0,0.5571068181818182,OXY,Oil,1.0,2.38157,838705,0.5160231796289944,0.516023478978518,0.516023695651672,OXY,0,6.135535,2.105177172441002,0.5571068181818182,0.0,1
WMT,2,0.3836527777777778,WMT,Rtail,1.0,2.38157,1124075,0.2987038355082023,0.29870387882838756,0.37406382848046105,WMT,2,-0.243398,1.3551243205948287,0.3836527777777778,0.0,0
CRM,1,0.48735,CRM,BusSv,1.0,2.38157,907382,0.18957756684886767,0.1895775768466525,0.2231142060155258,CRM,1,11.552974,1.089619349711046,0.48735,0.0,1
HD,0,-0.0258,HD,Rtail,1.0,2.38157,1051978,0.420268542660137,0.4202686036105132,0.3811320589558276,HD,0,0.015792,1.1958692052264779,0.0,-0.0258,1
DKNG,1,0.3391144897959183,DKNG,Unclassified,1.0,2.38157,1296165,0.3193740943664691,0.3177133232484653,0.30808577659795894,DKNG,1,21.636713,1.2842876840088115,0.3391144897959183,0.0,1
MGM,1,0.27185,MGM,Meals,0.959199,1.125342,623402,0.0,0.0,0.0,MGM,1,5.188321,0.27185,0.27185,0.0,1
PLTR,1,0.3490287037037036,PLTR,BusSv,1.0,2.38157,888137,0.2021522290053799,0.20215223966631685,0.22782939987073092,PLTR,1,19.034347,0.9811625722461313,0.3490287037037036,0.0,1
JNJ,0,0.2062999999999999,JNJ,MedEq,1.0,2.38157,746482,0.0,0.0,0.0,JNJ,0,0.373403,0.2062999999999999,0.2062999999999999,0.0,1
JPM,0,0.2428658088235294,JPM,Banks,1.0,2.38157,1330411,0.19561164969574626,0.19573942951470677,0.19377699673553425,JPM,0,0.459857,0.8279938847695167,0.2428658088235294,0.0,1
PLTR,0,0.326116173245614,PLTR,BusSv,1.0,2.38157,888137,0.2124691167462413,0.21246912795126174,0.3145620387798918,PLTR,0,3.170293,1.0656164567230089,0.326116173245614,0.0,1
DAL,2,0.5269703703703703,DAL,Trans,1.0,2.38157,1449778,-0.252028720139486,-0.252028793241525,-0.5904037425458765,DAL,2,2.514874,-0.5674908855565172,0.5269703703703703,0.0,1
DAL,0,-0.551375,DAL,Trans,1.0,2.38157,1449778,0.05282632187913754,0.06133209001750661,0.09992017171240555,DAL,0,2.722615,-0.3372964163909502,0.0,-0.551375,1
DAL,1,-0.1409942857142857,DAL,Trans,1.0,2.38157,1449778,0.09669405740427071,0.03473509038134886,0.0809432572804347,DAL,1,8.0895,0.07137811935176855,0.0,-0.1409942857142857,1
JPM,1,0.292875,JPM,Banks,1.0,2.38157,1330411,0.4019879118400862,0.4028594308651715,0.38947040769698776,JPM,1,5.75182,1.4871927504022453,0.292875,0.0,1
NKE,1,0.0229357142857142,NKE,Clths,0.99129,2.011378,660031,0.0,0.0,0.0,NKE,1,9.916251,0.0229357142857142,0.0229357142857142,0.0,1
NKE,2,0.290848069105691,NKE,Clths,0.99129,2.011378,660031,0.0,0.0,0.0,NKE,2,0.458337,0.290848069105691,0.290848069105691,0.0,1
UBER,1,-0.2141175,UBER,Trans,1.0,2.38157,611857,0.12141103118376806,0.0634318386477309,0.045169996662855864,UBER,1,11.946314,0.015895366494354836,0.0,-0.2141175,1
UBER,2,0.4202423076923077,UBER,Trans,1.0,2.38157,611857,-0.1986647154824571,-0.19866477310603176,-0.2870586671075114,UBER,2,2.128944,-0.26414584800369256,0.4202423076923077,0.0,1
WFC,1,0.4425875,WFC,Banks,1.0,2.38157,722440,0.32695811792676466,0.3262266658105367,0.32738038343814874,WFC,1,2.614244,1.4231526671754502,0.4425875,0.0,1
DIS,0,0.2257545454545454,DIS,Telcm,1.0,2.38157,1465531,0.0,0.0,0.0,DIS,0,0.0,0.2257545454545454,0.2257545454545454,0.0,0
DKNG,0,0.1471622895622895,DKNG,Unclassified,1.0,2.38157,1296165,0.2242925988546097,0.20842228014533745,0.2577574263176671,DKNG,0,-7.307242,0.8376345948799038,0.1471622895622895,0.0,0
MGM,0,-0.2241888888888889,MGM,Meals,0.959199,1.125342,623402,0.0,0.0,0.0,MGM,0,6.590485,-0.2241888888888889,0.0,-0.2241888888888889,1
GS,2,0.10765,GS,Fin,0.990804,2.146413,842123,0.5113504113360812,0.5227672148847737,0.5166566410067918,GS,2,-1.609288,1.6584242672276468,0.10765,0.0,0
ZM,0,0.203392738095238,ZM,Unclassified,1.0,2.38157,673186,0.21803597929900212,0.20197057923573183,0.251806502794727,ZM,0,-9.55848,0.8752057994246989,0.203392738095238,0.0,0
OXY,1,0.5143554545454545,OXY,Oil,1.0,2.38157,838705,0.4799568476293593,0.47995712605649077,0.47995732758573995,OXY,1,3.135894,1.9542267558170447,0.5143554545454545,0.0,1
UBER,0,-0.01718,UBER,Trans,1.0,2.38157,611857,-0.12774128496248502,-0.1483093978451904,-0.1211112752027032,UBER,0,0.065063,-0.4143419580103786,0.0,-0.01718,1
XOM,1,0.4799573275862069,XOM,Oil,1.0,2.38157,1028056,0.5143549401905143,0.5143552385722777,0.5143554545448412,XOM,1,1.877748,2.02302296089384,0.4799573275862069,0.0,1
GS,1,-0.0671592592592592,GS,Fin,0.990804,2.146413,842123,-0.15192874665063108,-0.17154893516440733,-0.17411976445468666,GS,1,4.927695,-0.5647567055289843,0.0,-0.0671592592592592,1
MA,2,0.3108333333333333,MA,BusSv,1.0,2.38157,454929,0.23509428291438927,0.235094295312597,0.27089931400018946,MA,2,-0.145913,1.051921225560509,0.3108333333333333,0.0,0
GS,0,0.0174611111111111,GS,Fin,0.990804,2.146413,842123,0.2925652166732645,0.2932147086916855,0.2824339793154156,GS,0,1.751876,0.8856750157914767,0.0174611111111111,0.0,1
HD,2,0.62515,HD,Rtail,1.0,2.38157,1051978,0.23832954504621934,0.23832957961048948,0.3249130541392504,HD,2,-5.77746,1.4267221787959592,0.62515,0.0,0
HD,1,0.4489499999999999,HD,Rtail,1.0,2.38157,1051978,0.3412501984741284,0.3412502479646944,0.27982006979657376,HD,1,3.713393,1.4112705162353965,0.4489499999999999,0.0,1
INO,0,-0.0633198412698412,INO,LabEq,0.995287,2.286848,943348,0.0,0.0,0.0,INO,0,-1.226993,-0.0633198412698412,0.0,-0.0633198412698412,0
INTC,0,0.4212385899814471,INTC,Chips,0.987163,1.766131,1203515,0.38098606638235466,0.3809862873956773,0.3809864473683197,INTC,0,-3.515786,1.5641973911277989,0.4212385899814471,0.0,0
INTC,2,0.3605115384615384,INTC,Chips,0.987163,1.766131,1203515,0.28561118497705024,0.28561135066257665,0.28561147058815917,INTC,2,7.108912,1.2173455446893244,0.3605115384615384,0.0,1
PFE,0,0.4740999999999999,PFE,Drugs,1.0,2.38157,743118,0.0,0.0,0.0,PFE,0,5.965434,0.4740999999999999,0.4740999999999999,0.0,1
XOM,0,0.516023695652174,XOM,Oil,1.0,2.38157,1028056,0.5571062610755572,0.5571065842577326,0.5571068181811539,XOM,0,-3.258146,2.1873433591666176,0.516023695652174,0.0,0
WFC,0,0.2015625,WFC,Banks,1.0,2.38157,722440,0.21631118212602218,0.21688119630807776,0.2159824282430238,WFC,0,4.326307,0.8507373066771238,0.2015625,0.0,1
JNJ,2,0.3102541666666666,JNJ,MedEq,1.0,2.38157,746482,0.0,0.0,0.0,JNJ,2,1.097142,0.3102541666666666,0.3102541666666666,0.0,1
JPM,2,0.2668263636363636,JPM,Banks,1.0,2.38157,1330411,0.2139866177134378,0.21855832656309995,0.14831507188728343,JPM,2,-0.490813,0.8476863798001848,0.2668263636363636,0.0,0
NKE,0,0.1361343137254902,NKE,Clths,0.99129,2.011378,660031,0.0,0.0,0.0,NKE,0,1.171519,0.1361343137254902,0.1361343137254902,0.0,1
TLRY,1,0.2094,TLRY,Unclassified,1.0,2.38157,634142,0.333807097030982,0.33259634683514333,0.3138178971529271,TLRY,1,10.200005,1.1896213410190524,0.2094,0.0,1
WFC,2,0.4269833333333332,WFC,Banks,1.0,2.38157,722440,0.1337224819188601,0.13657939073175568,0.1320741354809962,WFC,2,-1.554595,0.8293593414649452,0.4269833333333332,0.0,0
LCID,0,0.238025,LCID,Fin,1.0,2.38157,1052144,0.21946505271502598,0.22084569129160075,0.19947358830733944,LCID,0,-5.445543,0.8778093323139661,0.238025,0.0,0
LCID,1,-0.2966,LCID,Fin,1.0,2.38157,1052144,-0.07526561689808021,-0.08952350496584506,-0.07116140452950723,LCID,1,16.787992,-0.5325505263934325,0.0,-0.2966,1
LCID,2,0.554,LCID,Fin,1.0,2.38157,1052144,0.36294752767716654,0.37103340451173694,0.3362076160611147,LCID,2,-5.590994,1.6241885482500182,0.554,0.0,0
LUV,0,0.0,LUV,Trans,0.95842,1.305423,646023,-0.13169745610084796,-0.13169748156713407,-0.1248545080890263,LUV,0,2.757921,-0.38824944575700837,0.0,0.0,1
LUV,1,0.4815,LUV,Trans,0.95842,1.305423,646023,-0.10547056008124187,-0.10547058047604321,-0.06739230820869639,LUV,1,2.805517,0.20316655123401856,0.4815,0.0,1
M,0,0.4679622222222221,M,Rtail,1.0,2.38157,420222,0.29682801796471264,0.29682806101285336,0.30084630322642686,M,0,2.072537,1.362464604426215,0.4679622222222221,0.0,1
M,1,0.4427,M,Rtail,1.0,2.38157,420222,0.34281269808350345,0.3428127478006744,0.29873922795168145,M,1,11.182618,1.4270646738358592,0.4427,0.0,1
M,2,-0.0268266666666666,M,Rtail,1.0,2.38157,420222,0.4013236709643545,0.4013237291672087,0.4050398032894884,M,2,-2.639402,1.180860536754385,0.0,-0.0268266666666666,0
ROKU,1,0.0513214285714285,ROKU,Unclassified,1.0,2.38157,1776084,0.35139609920198517,0.3507337739708574,0.33763886092098716,ROKU,1,22.606301,1.0910901626652583,0.0513214285714285,0.0,1
MO,0,-0.6486,MO,Smoke,0.953778,1.25164,154185,0.0,0.0,0.0,MO,0,-0.805659,-0.6486,0.0,-0.6486,0
MO,1,0.9182,MO,Smoke,0.953778,1.25164,154185,0.0,0.0,0.0,MO,1,0.271632,0.9182,0.9182,0.0,1
MRNA,1,0.3587,MRNA,Unclassified,1.0,2.38157,1215084,0.31719486426344745,0.31546614476606843,0.30685934402817694,MRNA,1,20.800701,1.298220353057693,0.3587,0.0,1
PENN,0,0.5471857142857143,PENN,Fun,1.0,2.38157,1143050,0.13540087475987997,0.13540091403349935,0.14027109617674582,PENN,0,2.203588,0.9582585992558393,0.5471857142857143,0.0,1
MRNA,2,0.47145,MRNA,Unclassified,1.0,2.38157,1215084,0.29622798035988457,0.2994826468443317,0.3754347897411218,MRNA,2,-11.139676,1.442595416945338,0.47145,0.0,0
MULN,1,0.43194,MULN,Unclassified,1.0,2.38157,741208,0.3090456350076254,0.3070628225990286,0.30519219019835536,MULN,1,81.25,1.3532406478050094,0.43194,0.0,1
NKLA,0,0.208875,NKLA,Unclassified,1.0,2.38157,1138555,0.21742598190546902,0.20134156212773338,0.2527386881038859,NKLA,0,-0.397348,0.8803812321370883,0.208875,0.0,0
PTON,1,0.3726388888888889,PTON,Unclassified,0.987352,1.704252,856543,0.3157240163307165,0.3157240366811953,0.307234679435189,PTON,1,17.735516,1.3113216213359897,0.3726388888888889,0.0,1
